Date,Open,High,Low,Close,Volume,RSI,SMA,BBP,ADX,Tomorrow,Target
2000-02-15,916.8900146484375,919.4299926757812,875.0499877929688,879.7000122070312,218600,32.0687744600915,949.7776672363282,0.007097293399880922,23.840501484026266,879.5,0
2000-02-16,881.030029296875,886.6300048828125,843.5800170898438,879.5,214000,32.04422695512294,943.7929992675781,0.059049224179383596,25.066521512712722,897.52001953125,1
2000-02-17,869.3499755859375,901.8300170898438,869.3499755859375,897.52001953125,212400,36.74232078845216,940.8333333333334,0.23684876338032115,25.56903578984264,897.52001953125,0
2000-02-18,900.7100219726562,918.0399780273438,879.1400146484375,897.52001953125,258300,36.74232078845216,938.7243347167969,0.2608518267620512,25.397678868448246,845.3200073242188,0
2000-02-21,864.6099853515625,866.3200073242188,843.6500244140625,845.3200073242188,213800,29.81694702948468,935.2800008138021,-0.04519285475403434,25.993126417380648,850.02001953125,1
2000-02-22,844.1099853515625,867.6799926757812,835.969970703125,850.02001953125,244400,31.076615595406633,930.7060017903646,0.05655767156310528,26.693003011010664,880.6699829101562,1
2000-02-23,866.1400146484375,882.7899780273438,852.8900146484375,880.6699829101562,346400,38.79184717894752,927.3506673177084,0.25909468773563504,26.744203455800992,867.3699951171875,0
2000-02-24,874.530029296875,887.8200073242188,857.6799926757812,867.3699951171875,256700,36.86350136061521,924.4293334960937,0.18809351507100228,26.5947247111383,864.760009765625,0
2000-02-25,856.0599975585938,873.0800170898438,847.1400146484375,864.760009765625,255200,36.48025867028969,921.5530008951823,0.19768274855912168,26.706606448233327,819.010009765625,0
2000-02-28,850.3599853515625,850.47998046875,819.010009765625,819.010009765625,253100,30.49545248121567,917.2523335774739,0.013529237300254467,27.416341110030977,828.3800048828125,1
2000-02-29,843.3099975585938,846.3699951171875,810.530029296875,828.3800048828125,275700,32.92262793224761,912.0893330891927,0.11546302731714235,28.24243985395122,894.6599731445312,1
2000-03-02,864.780029296875,900.2999877929688,857.0499877929688,894.6599731445312,317800,47.01716340445533,909.1936645507812,0.4625416922172842,27.00615625470619,894.8300170898438,1
2000-03-03,909.8099975585938,910.02001953125,882.47998046875,894.8300170898438,311300,47.047904648723595,907.7286641438802,0.47547897230088454,25.559498385237568,909.3300170898438,1
2000-03-06,907.5599975585938,913.510009765625,899.5800170898438,909.3300170898438,352600,49.72655714938388,906.5096638997396,0.5640385902804474,24.106632171071606,907.3400268554688,0
2000-03-07,907.010009765625,907.8499755859375,893.0900268554688,907.3400268554688,339300,49.35753341368355,905.9156656901042,0.5764456828098035,22.946865004898882,915.239990234375,1
2000-03-08,895.9299926757812,919.030029296875,883.530029296875,915.239990234375,313700,50.91484283700156,905.5313313802084,0.6439717548714833,21.48992197960421,884.5900268554688,0
2000-03-09,922.7100219726562,928.5499877929688,884.5900268554688,884.5900268554688,370000,45.117906079421566,905.3103332519531,0.48100570314826957,20.089766395075053,891.3599853515625,1
2000-03-10,902.3099975585938,913.5999755859375,886.260009765625,891.3599853515625,330600,46.56507779542105,905.5043334960938,0.5632829798854152,18.789621923726546,854.6599731445312,0
2000-03-13,890.8699951171875,890.8699951171875,849.52001953125,854.6599731445312,364400,40.353084033534984,903.6853332519531,0.27730224995568237,18.49346896889573,846.739990234375,0
2000-03-14,843.1400146484375,858.6799926757812,838.3099975585938,846.739990234375,330800,39.13961161641738,900.5210001627604,0.2313952415864694,18.52706295861928,837.530029296875,0
2000-03-15,837.3499755859375,841.72998046875,820.2999877929688,837.530029296875,312900,37.719138025533795,896.9760009765625,0.17950433089058274,19.024339596103996,841.219970703125,1
2000-03-16,847.9000244140625,860.4000244140625,832.1699829101562,841.219970703125,298900,38.67935576704106,894.0583333333333,0.23732199942832208,18.74679614336582,855.5700073242188,1
2000-03-17,864.3599853515625,869.8200073242188,850.0399780273438,855.5700073242188,300800,42.398693919997406,891.1243326822917,0.37853342915848226,18.13631135962628,850.510009765625,0
2000-03-20,862.6799926757812,867.5399780273438,843.4600219726562,850.510009765625,227900,41.44413225660567,887.8006673177083,0.3519896752583405,17.76992930431962,863.4099731445312,1
